Plate	Well_96	Well	Group	Content	SystematicName	SGD.ID	Gene.Symbol	roGFP2.ratio	Type
1	A1	C02	A	Blank	YAL025C	S000000023	MAK16	NA	Glucose
1	A1	D01	A	Blank	YAL025C	S000000023	MAK16	NA	Glucose
1	A1	D02	A	Blank	YAL025C	S000000023	MAK16	NA	Glucose
1	A1	C01	A	Blank	YAL025C	S000000023	MAK16	NA	Glucose
1	A1	B04	A	Control	YAL025C	S000000023	MAK16	0.4647	Glucose
1	A1	B03	A	Control	YAL025C	S000000023	MAK16	0.2594	Glucose
1	A1	A04	A	Control	YAL025C	S000000023	MAK16	0.5157	Glucose
1	A1	A03	A	Control	YAL025C	S000000023	MAK16	0.5755	Glucose
1	A1	C03	A	Cytoplasm	YAL025C	S000000023	MAK16	0.5786	Glucose
1	A1	D04	A	Cytoplasm	YAL025C	S000000023	MAK16	0.5218	Glucose
1	A1	C04	A	Cytoplasm	YAL025C	S000000023	MAK16	0.5648	Glucose
1	A1	D03	A	Cytoplasm	YAL025C	S000000023	MAK16	0.3976	Glucose
1	A1	B02	A	Mitochondria	YAL025C	S000000023	MAK16	-0.214	Glucose
1	A1	A01	A	Mitochondria	YAL025C	S000000023	MAK16	0.931	Glucose
1	A1	B01	A	Mitochondria	YAL025C	S000000023	MAK16	0.8792	Glucose
1	A1	A02	A	Mitochondria	YAL025C	S000000023	MAK16	0.9336	Glucose
1	C3	L10	AA	Blank	YER021W	S000000823	RPN3	NA	Glucose
1	C3	K10	AA	Blank	YER021W	S000000823	RPN3	NA	Glucose
1	C3	K09	AA	Blank	YER021W	S000000823	RPN3	NA	Glucose
1	C3	L09	AA	Blank	YER021W	S000000823	RPN3	NA	Glucose
1	C3	J12	AA	Control	YER021W	S000000823	RPN3	0.3833	Glucose
1	C3	I11	AA	Control	YER021W	S000000823	RPN3	0.4711	Glucose
1	C3	J11	AA	Control	YER021W	S000000823	RPN3	0.4249	Glucose
1	C3	I12	AA	Control	YER021W	S000000823	RPN3	0.4696	Glucose
1	C3	L11	AA	Cytoplasm	YER021W	S000000823	RPN3	0.4887	Glucose
1	C3	K12	AA	Cytoplasm	YER021W	S000000823	RPN3	0.5255	Glucose
1	C3	K11	AA	Cytoplasm	YER021W	S000000823	RPN3	0.5348	Glucose
1	C3	L12	AA	Cytoplasm	YER021W	S000000823	RPN3	0.4721	Glucose
1	C3	J09	AA	Mitochondria	YER021W	S000000823	RPN3	1.0418	Glucose
1	C3	J10	AA	Mitochondria	YER021W	S000000823	RPN3	1.0001	Glucose
1	C3	I09	AA	Mitochondria	YER021W	S000000823	RPN3	1.0498	Glucose
1	C3	I10	AA	Mitochondria	YER021W	S000000823	RPN3	1.0354	Glucose
1	C4	K14	AB	Blank	YER022W	S000000824	SRB4	NA	Glucose
1	C4	L14	AB	Blank	YER022W	S000000824	SRB4	NA	Glucose
1	C4	L13	AB	Blank	YER022W	S000000824	SRB4	NA	Glucose
1	C4	K13	AB	Blank	YER022W	S000000824	SRB4	NA	Glucose
1	C4	J15	AB	Control	YER022W	S000000824	SRB4	0.3891	Glucose
1	C4	J16	AB	Control	YER022W	S000000824	SRB4	0.4259	Glucose
1	C4	I16	AB	Control	YER022W	S000000824	SRB4	0.4586	Glucose
1	C4	I15	AB	Control	YER022W	S000000824	SRB4	0.444	Glucose
1	C4	K15	AB	Cytoplasm	YER022W	S000000824	SRB4	0.5474	Glucose
1	C4	K16	AB	Cytoplasm	YER022W	S000000824	SRB4	0.5608	Glucose
1	C4	L16	AB	Cytoplasm	YER022W	S000000824	SRB4	0.5382	Glucose
1	C4	L15	AB	Cytoplasm	YER022W	S000000824	SRB4	0.5254	Glucose
1	C4	J13	AB	Mitochondria	YER022W	S000000824	SRB4	0.9099	Glucose
