User: manidani,Path: T:\Lab Member Data\Daniel\DATA clario-phera\Data\,Test run no.: 1729
Test name: 1536 agar plates,Date: 9/23/2019,Time: 2:01:13 PM

ID1: 005,ID2: gal,ID3: 23092019,
Fluorescence (FI), multichromatic

Well,Content,Group,Raw Data (485/520 1),Raw Data (400/520 2),Raw Data (575/620 3),Raw Data (340/450 4),roGFP2 ratio,RTG,
A01,Sample X2,A,121593,186290,62169,197993,0.8333,0.314,
A02,Sample X2,A,95505,159464,51954,163987,0.7711,0.3168,
A03,Control C1,A,125816,135290,6806,180802,0.3466,0.0376,
A04,Control C2,A,107674,118167,5916,153168,0.2312,0.0386,
B01,Sample X2,A,94906,158058,53404,166452,0.7595,0.3208,
B02,Sample X2,A,56359,109271,31978,97760,0.301,0.3271,
B03,Control C3,A,64567,82891,3220,91082,-0.2673,0.0354,
B04,Control C4,A,72480,89273,3649,101905,-0.1225,0.0358,
C01,Blank B,A,15549,106827,25344,184891,,0.1371,
C02,Blank B,A,11956,84512,17692,135585,,0.1305,
C03,Sample X1,A,88223,115621,40530,143113,0.2574,0.2832,
C04,Sample X1,A,77253,104859,35135,125485,0.1323,0.28,
D01,Blank B,A,14832,103203,21693,181428,,0.1196,
D02,Blank B,A,12864,91306,18041,154866,,0.1165,
D03,Sample X1,A,82802,110111,35889,138018,0.1978,0.26,
D04,Sample X1,A,82860,110789,35022,138917,0.2075,0.2521,
I09,Sample X2,AA,131673,191456,79676,194501,0.9545,0.4096,
I10,Sample X2,AA,124476,183410,78563,177531,0.9442,0.4425,
I11,Control C1,AA,137409,135187,5839,177501,0.4691,0.0329,
I12,Control C2,AA,136510,134215,5459,172882,0.4647,0.0316,
J09,Sample X2,AA,115720,172672,72294,162069,0.9208,0.4461,
J10,Sample X2,AA,108622,162971,69269,147792,0.8886,0.4687,
J11,Control C3,AA,123970,123872,4660,153053,0.425,0.0304,
J12,Control C4,AA,122366,122837,4528,149701,0.4219,0.0302,
K09,Blank B,AA,10873,79726,6199,162198,,0.0382,
K10,Blank B,AA,10237,75806,5625,149134,,0.0377,
K11,Sample X1,AA,116710,130456,72918,148057,0.5158,0.4925,
