User: manidani,Path: T:\Lab Member Data\Daniel\DATA clario-phera\Data\,Test run no.: 1724
Test name: 1536 agar plates,Date: 9/23/2019,Time: 12:15:46 PM

ID1: 012,ID2: glu,ID3: 23092019,
Fluorescence (FI), multichromatic

Well,Content,Group,Raw Data (485/520 1),Raw Data (400/520 2),Raw Data (575/620 3),Raw Data (340/450 4),roGFP2 ratio,RTG,
A01,Sample X2,A,2045,37309,1292,13008,2.6456,0.0993,
A02,Sample X2,A,2078,36913,1315,12990,3.4739,0.1012,
A03,Control C1,A,2162,36723,1229,13125,4.4384,0.0936,
A04,Control C2,A,2252,37222,1251,13257,4.1954,0.0944,
B01,Sample X2,A,2196,37421,1324,13455,3.2632,0.0984,
B02,Sample X2,A,2272,37265,1279,13409,4.3004,0.0954,
B03,Control C3,A,2331,37494,1226,13386,4.3752,0.0916,
B04,Control C4,A,2481,37807,1228,13510,6.277,0.0909,
C01,Blank B,A,2448,38424,1310,13790,,0.095,
C02,Blank B,A,2511,37874,1257,13761,,0.0913,
C03,Sample X1,A,2635,38320,1279,13706,23.3962,0.0933,
C04,Sample X1,A,2786,38863,1266,13936,-0.6185,0.0908,
D01,Blank B,A,2783,39757,1326,14316,,0.0926,
D02,Blank B,A,2904,39705,1381,14336,,0.0963,
D03,Sample X1,A,3092,40365,1318,14331,3.3101,0.092,
D04,Sample X1,A,3279,41452,1323,14616,4.068,0.0905,
I09,Sample X2,AA,4130,45773,1583,16343,4.0499,0.0969,
I10,Sample X2,AA,3977,44813,1468,16562,2.5202,0.0886,
I11,Control C1,AA,46636,86435,4725,126445,0.9837,0.0374,
I12,Control C2,AA,73477,102586,4649,140441,0.8367,0.0331,
J09,Sample X2,AA,4079,45662,1524,16244,4.3444,0.0938,
J10,Sample X2,AA,3896,44632,1534,16258,2.6837,0.0944,
J11,Control C3,AA,78728,107298,5231,147530,0.8409,0.0355,
J12,Control C4,AA,81757,113477,5327,157122,0.8875,0.0339,
K09,Blank B,AA,3944,44793,1469,15974,,0.092,
