User: manidani,Path: T:\Lab Member Data\Daniel\DATA clario-phera\Data\,Test run no.: 1714
Test name: 1536 agar plates,Date: 9/23/2019,Time: 10:10:53 AM

ID1: 001,ID2: glu,ID3: 23092019,
Fluorescence (FI), multichromatic

Well,Content,Group,Raw Data (485/520 1),Raw Data (400/520 2),Raw Data (575/620 3),Raw Data (340/450 4),RTG,roGFP2 ratio,
A01,Sample X2,A,171223,223770,53471,184464,0.2899,0.931,
A02,Sample X2,A,95675,153666,34076,124346,0.274,0.9336,
A03,Control C1,A,204071,185419,13313,180590,0.0737,0.5755,
A04,Control C2,A,177039,159895,10332,147836,0.0699,0.5157,
B01,Sample X2,A,82728,137632,28399,112159,0.2532,0.8792,
B02,Sample X2,A,26373,70369,5905,39776,0.1485,-0.214,
B03,Control C3,A,81369,92306,4793,69963,0.0685,0.2594,
B04,Control C4,A,142919,135520,8283,116637,0.071,0.4647,
C01,Blank B,A,13400,91239,9878,155260,0.0636,,
C02,Blank B,A,8836,66221,5091,94445,0.0539,,
C03,Sample X1,A,145643,152219,60324,153428,0.3932,0.5786,
C04,Sample X1,A,134286,143932,49985,138753,0.3602,0.5648,
D01,Blank B,A,10187,73293,5933,114123,0.052,,
D02,Blank B,A,8254,64592,3962,90992,0.0435,,
D03,Sample X1,A,88113,104826,35042,90110,0.3889,0.3976,
D04,Sample X1,A,114533,128297,42180,118968,0.3545,0.5218,
I09,Sample X2,AA,105249,168033,62771,140338,0.4473,1.0498,
I10,Sample X2,AA,92780,153720,58863,122951,0.4788,1.0354,
I11,Control C1,AA,114111,115945,5418,106814,0.0507,0.4711,
I12,Control C2,AA,109249,113505,5176,103757,0.0499,0.4696,
J09,Sample X2,AA,88027,149308,57394,124538,0.4609,1.0418,
J10,Sample X2,AA,75425,133371,51546,105556,0.4883,1.0001,
J11,Control C3,AA,97459,103974,4312,96064,0.0449,0.4249,
J12,Control C4,AA,88967,96998,4113,88867,0.0463,0.3833,
K09,Blank B,AA,8805,70906,2800,146948,0.0191,,
K10,Blank B,AA,8031,65555,2407,129142,0.0186,,
K11,Sample X1,AA,107275,119053,50115,116116,0.4316,0.5348,
K12,Sample X1,AA,103479,116128,49612,111161,0.4463,0.5255,
L09,Blank B,AA,8028,66231,2512,130728,0.0192,,
L10,Blank B,AA,7299,61227,2335,113207,0.0206,,
L11,Sample X1,AA,90793,106424,44507,99300,0.4482,0.4887,
L12,Sample X1,AA,91260,105264,44992,99899,0.4504,0.4721,
I13,Sample X2,AB,97911,158622,56752,132927,0.4269,0.9543,
I14,Sample X2,AB,93173,154544,55651,128715,0.4324,0.9596,
I15,Control C1,AB,162085,141965,2883,150771,0.0191,0.444,
I16,Control C2,AB,166723,146322,2985,155480,0.0192,0.4586,
J13,Sample X2,AB,77570,136180,51408,116743,0.4404,0.9099,
J14,Sample X2,AB,77567,136323,51310,116405,0.4408,0.912,
J15,Control C3,AB,134707,122923,2395,128306,0.0187,0.3891,
J16,Control C4,AB,149292,133753,2636,142149,0.0185,0.4259,
K13,Blank B,AB,10113,78507,7220,117557,0.0614,,
K14,Blank B,AB,9686,75968,6851,113454,0.0604,,
K15,Sample X1,AB,138809,145006,70075,148666,0.4714,0.5474,
K16,Sample X1,AB,145575,150532,72831,156085,0.4666,0.5608,
L13,Blank B,AB,9096,72484,5863,106032,0.0553,,
L14,Blank B,AB,8825,69764,5700,101488,0.0562,,
L15,Sample X1,AB,123531,134128,64926,132785,0.489,0.5254,
L16,Sample X1,AB,130864,139535,68209,141564,0.4818,0.5382,
I17,Sample X2,AC,125361,139367,33290,125270,0.2657,0.8334,
I18,Sample X2,AC,117326,131723,31627,115792,0.2731,0.8127,
I19,Control C1,AC,133677,150403,60451,135036,0.4477,0.8992,
I20,Control C2,AC,134770,151137,60835,135548,0.4488,0.8953,
J17,Sample X2,AC,83149,100570,23338,84601,0.2759,0.5272,
J18,Sample X2,AC,59358,82488,19519,63621,0.3068,0.99,
J19,Control C3,AC,112820,131386,54591,117661,0.464,0.8929,
J20,Control C4,AC,91975,113469,46082,96606,0.477,0.9265,
K17,Blank B,AC,116458,130232,49338,121314,0.4067,,
K18,Blank B,AC,98487,114905,43083,102469,0.4204,,
K19,Sample X1,AC,128647,140783,56534,135297,0.4179,0.8103,
K20,Sample X1,AC,106697,121726,48501,112588,0.4308,0.7743,
L17,Blank B,AC,62940,86724,30488,68298,0.4464,,
L18,Blank B,AC,7421,45488,4242,18999,0.2233,,
L19,Sample X1,AC,73088,94595,35145,78459,0.4479,0.1463,
L20,Sample X1,AC,11353,47320,4651,21537,0.216,0.784,
I21,Sample X2,AD,110129,125019,36518,111473,0.3276,0.779,
I22,Sample X2,AD,84989,103479,31128,84314,0.3692,0.4925,
I23,Control C1,AD,128373,138576,40213,128052,0.314,0.766,
I24,Control C2,AD,105525,117999,35108,104637,0.3355,0.6535,
J21,Sample X2,AD,30457,60771,12145,38046,0.3192,0.8248,
J22,Sample X2,AD,5201,44065,1464,17231,0.085,0.7682,
J23,Control C3,AD,75351,95400,25514,77877,0.3276,1.6777,
J24,Control C4,AD,11468,45204,2730,20947,0.1303,0.8233,
K21,Blank B,AD,133301,145263,59954,141733,0.423,,
K22,Blank B,AD,107258,122071,49111,112374,0.437,,
K23,Sample X1,AD,108983,126289,52928,119212,0.444,0.8492,
K24,Sample X1,AD,85617,106064,42864,94157,0.4552,0.7978,
L21,Blank B,AD,62447,86951,32080,69171,0.4638,,
L22,Blank B,AD,9644,46182,4469,20529,0.2177,,
L23,Sample X1,AD,5020,44875,1844,17185,0.1073,0.7553,
L24,Sample X1,AD,4112,46237,1636,16964,0.0964,0.7276,
I25,Sample X2,AE,139147,143588,32350,137125,0.2359,0.6418,
I26,Sample X2,AE,146876,150513,34341,142870,0.2404,0.6791,
I27,Control C1,AE,3819,45003,1585,16592,0.0955,0.7717,
I28,Control C2,AE,3864,45157,1683,16676,0.1009,0.7703,
J25,Sample X2,AE,97907,110464,25486,97305,0.2619,-1.1243,
J26,Sample X2,AE,108802,120155,29248,109128,0.268,0.372,
J27,Control C3,AE,3943,45518,1559,16797,0.0928,0.767,
J28,Control C4,AE,4000,45713,1573,16923,0.093,0.7653,
K25,Blank B,AE,130191,146625,64862,141290,0.4591,,
K26,Blank B,AE,125032,141116,62202,137154,0.4535,,
K27,Sample X1,AE,132378,148459,64614,145734,0.4434,0.8828,
K28,Sample X1,AE,101768,120714,51781,111802,0.4631,0.7883,
L25,Blank B,AE,79478,101083,40838,86391,0.4727,,
L26,Blank B,AE,41856,69976,22455,50759,0.4424,,
L27,Sample X1,AE,23830,56302,12514,34768,0.3599,0.8306,
L28,Sample X1,AE,4302,47682,1651,16977,0.0972,0.746,
I29,Sample X2,AF,147632,223909,83259,187525,0.444,0.958,
I30,Sample X2,AF,152184,230002,86151,194375,0.4432,0.9705,
I31,Control C1,AF,187270,176035,11373,177899,0.0639,0.4658,
I32,Control C2,AF,199553,186846,11489,192638,0.0596,0.493,
J29,Sample X2,AF,122164,195338,76641,160754,0.4768,0.9198,
J30,Sample X2,AF,121897,192802,77110,163156,0.4726,0.8988,
J31,Control C3,AF,152460,146048,8524,148054,0.0576,0.3671,
J32,Control C4,AF,170397,161819,9390,166389,0.0564,0.4254,
K29,Blank B,AF,13810,101124,13104,146070,0.0897,,
K30,Blank B,AF,13167,96821,12865,141993,0.0906,,
K31,Sample X1,AF,150147,167756,76182,163612,0.4656,0.5314,
K32,Sample X1,AF,170547,189128,86110,187995,0.458,0.5982,
L29,Blank B,AF,12637,93184,11455,131406,0.0872,,
L30,Blank B,AF,11879,88101,10896,126100,0.0864,,
L31,Sample X1,AF,129759,149418,69861,143104,0.4882,0.4672,
L32,Sample X1,AF,148857,167947,78379,163484,0.4794,0.5379,
I33,Sample X2,AG,203150,211122,60765,207991,0.2922,0.8346,
I34,Sample X2,AG,210756,222724,64187,218805,0.2934,0.86,
I35,Control C1,AG,3278,42190,1506,15801,0.0953,4.6425,
I36,Control C2,AG,3306,42822,1596,15861,0.1006,3.6904,
J33,Sample X2,AG,154339,167435,52115,163814,0.3181,0.815,
J34,Sample X2,AG,153349,168063,49910,157158,0.3176,0.8246,
J35,Control C3,AG,3461,43045,1464,16093,0.091,4.6279,
J36,Control C4,AG,3482,43579,1586,16408,0.0967,3.3843,
K33,Blank B,AG,3813,44411,1564,16871,0.0927,,
K34,Blank B,AG,3680,43868,1551,16348,0.0949,,
K35,Sample X1,AG,3577,43668,1514,16387,0.0924,4.2917,
K36,Sample X1,AG,3633,43793,1605,16527,0.0971,4.8677,
L33,Blank B,AG,3992,45913,1703,17143,0.0993,,
L34,Blank B,AG,3848,44879,1607,16787,0.0957,,
L35,Sample X1,AG,3784,44571,1625,16896,0.0962,3.9949,
L36,Sample X1,AG,3860,44878,1649,17151,0.0961,4.1215,
I37,Sample X2,AH,185513,208870,63027,212959,0.296,0.8247,
I38,Sample X2,AH,162491,182919,55916,183881,0.3041,0.7252,
I39,Control C1,AH,178006,217782,75516,222626,0.3392,1.0014,
I40,Control C2,AH,194350,235989,80153,244758,0.3275,1.0195,
J37,Sample X2,AH,114248,139163,31633,130838,0.2418,0.3216,
J38,Sample X2,AH,3774,44936,1666,17076,0.0976,0.983,
J39,Control C3,AH,155920,193626,69903,195645,0.3573,0.9692,
J40,Control C4,AH,174070,214423,74709,222783,0.3353,1.0085,
K37,Blank B,AH,120343,159973,53274,188437,0.2827,,
K38,Blank B,AH,104572,144861,47359,172885,0.2739,,
K39,Sample X1,AH,110292,150978,54526,183931,0.2964,1.0579,
K40,Sample X1,AH,124538,172422,59220,215578,0.2747,1.2569,
L37,Blank B,AH,84813,123921,38467,147506,0.2608,,
L38,Blank B,AH,60339,99939,32178,115078,0.2796,,
L39,Sample X1,AH,93529,134248,46756,164811,0.2837,2.0494,
L40,Sample X1,AH,104785,152859,51675,192654,0.2682,1.6861,
I41,Sample X2,AI,3409,43378,1523,15769,0.0966,1.7949,
I42,Sample X2,AI,3270,42530,1385,14911,0.0929,1.8314,
I43,Control C1,AI,3222,42969,1519,15223,0.0998,1.7994,
I44,Control C2,AI,3339,43052,1474,15109,0.0976,1.8072,
J41,Sample X2,AI,3824,44947,1524,16081,0.0948,1.743,
J42,Sample X2,AI,3577,44548,1489,15761,0.0945,1.7411,
J43,Control C3,AI,3328,43335,1438,15349,0.0937,1.7887,
J44,Control C4,AI,3235,42948,1396,15282,0.0913,1.8021,
K41,Blank B,AI,56736,132810,32619,121715,0.268,,
K42,Blank B,AI,13901,64253,3780,50319,0.0751,,
K43,Sample X1,AI,3500,44209,1452,15727,0.0923,1.7537,
K44,Sample X1,AI,3308,42973,1454,15477,0.0939,1.8086,
L41,Blank B,AI,4169,47103,1660,16971,0.0978,,
L42,Blank B,AI,4006,46333,1603,16724,0.0959,,
L43,Sample X1,AI,3716,45137,1582,16515,0.0958,1.7194,
L44,Sample X1,AI,3565,44574,1634,16282,0.1004,1.7382,
I45,Sample X2,AJ,3483,43956,1504,15191,0.099,3.9335,
I46,Sample X2,AJ,3446,44249,1595,15439,0.1033,6.6364,
I47,Control C1,AJ,3265,43126,1667,15360,0.1085,2.4667,
I48,Control C2,AJ,2958,41949,1492,14932,0.0999,3.7552,
J45,Sample X2,AJ,3234,42957,1443,15132,0.0954,4.3266,
J46,Sample X2,AJ,3177,43035,1469,15187,0.0967,1.2857,
J47,Control C3,AJ,3020,41998,1418,15148,0.0936,4.4521,
J48,Control C4,AJ,2796,40983,1450,14642,0.099,4.4885,
K45,Blank B,AJ,3197,42386,1489,15511,0.096,,
K46,Blank B,AJ,3112,42540,1492,15336,0.0973,,
K47,Sample X1,AJ,3013,42058,1408,14958,0.0941,4.1154,
K48,Sample X1,AJ,2782,40584,1413,14743,0.0958,5.1584,
L45,Blank B,AJ,3444,44072,1685,16216,0.1039,,
L46,Blank B,AJ,3382,43691,1583,16027,0.0988,,
L47,Sample X1,AJ,3266,43696,1590,15678,0.1014,-29.507,
L48,Sample X1,AJ,3047,41845,1515,15154,0.1,5.6061,
M01,Sample X2,AK,121780,184383,60640,168479,0.3599,0.961,
M02,Sample X2,AK,84978,143416,49357,123063,0.4011,0.8866,
M03,Control C1,AK,126139,121491,3563,121031,0.0294,0.3851,
