User: manidani,Path: T:\Lab Member Data\Daniel\DATA clario-phera\Data\,Test run no.: 1715
Test name: 1536 agar plates,Date: 9/23/2019,Time: 10:22:12 AM

ID1: 003,ID2: glu,ID3: 23092019,
Fluorescence (FI), multichromatic

Well,Content,Group,Raw Data (485/520 1),Raw Data (400/520 2),Raw Data (575/620 3),Raw Data (340/450 4),roGFP2 ratio,RTG,
A01,Sample X2,A,109280,175522,61285,153824,1.0578,0.3984,
A02,Sample X2,A,91496,163354,53070,142183,1.138,0.3733,
A03,Control C1,A,3444,45956,1598,14808,4.4246,0.1079,
A04,Control C2,A,3241,45178,1455,14772,4.4025,0.0985,
B01,Sample X2,A,61391,122176,40820,99816,1.0068,0.409,
B02,Sample X2,A,54760,115781,36532,93123,1.0129,0.3923,
B03,Control C3,A,3917,47796,1630,15458,4.4778,0.1054,
B04,Control C4,A,3772,47494,1548,15111,4.4069,0.1024,
C01,Blank B,A,9481,73346,2925,132107,,0.0221,
C02,Blank B,A,8187,66125,2324,107100,,0.0217,
C03,Sample X1,A,123922,138294,51010,126053,0.6004,0.4047,
C04,Sample X1,A,142030,157197,54515,145200,0.6606,0.3754,
D01,Blank B,A,9213,72041,2725,128040,,0.0213,
D02,Blank B,A,7819,64893,2126,100180,,0.0212,
D03,Sample X1,A,96895,117258,42195,98527,0.5459,0.4283,
D04,Sample X1,A,106914,127476,43113,109484,0.5942,0.3938,
I09,Sample X2,AA,5481,53998,1672,16839,0.5796,0.0993,
I10,Sample X2,AA,5174,51868,1570,16950,0.621,0.0926,
I11,Control C1,AA,62289,87900,2549,99828,0.6772,0.0255,
I12,Control C2,AA,62098,86713,2388,98177,0.5694,0.0243,
J09,Sample X2,AA,5286,53034,1648,16786,0.5977,0.0982,
J10,Sample X2,AA,4990,51790,1695,17149,0.6203,0.0988,
J11,Control C3,AA,56293,81929,2321,88448,0.1998,0.0262,
J12,Control C4,AA,50451,76697,2026,79132,2.408,0.0256,
K09,Blank B,AA,54769,84585,2647,94327,,0.0281,
K10,Blank B,AA,57291,85439,2656,98362,,0.027,
K11,Sample X1,AA,52597,84330,2645,102625,10.4848,0.0258,
K12,Sample X1,AA,52727,83112,2600,101617,4.5549,0.0256,
L09,Blank B,AA,47500,76185,2428,80821,,0.03,
L10,Blank B,AA,49607,78309,2512,84064,,0.0299,
L11,Sample X1,AA,45029,75328,2285,85691,0.7988,0.0267,
L12,Sample X1,AA,46961,76879,2378,92077,0.7974,0.0258,
I13,Sample X2,AB,63785,91129,2669,112651,0.3748,0.0237,
I14,Sample X2,AB,65347,93354,2741,114295,0.3034,0.024,
I15,Control C1,AB,58461,88278,2532,108108,0.4035,0.0234,
I16,Control C2,AB,57124,87402,2616,106258,0.4142,0.0246,
J13,Sample X2,AB,62466,89007,2629,107575,0.4378,0.0244,
J14,Sample X2,AB,58116,85395,2433,100775,0.4943,0.0241,
J15,Control C3,AB,55453,83597,2560,97561,0.5089,0.0262,
J16,Control C4,AB,53975,82940,2544,98495,0.5062,0.0258,
