User: manidani,Path: T:\Lab Member Data\Daniel\DATA clario-phera\Data\,Test run no.: 1747
Test name: 1536 agar plates,Date: 9/24/2019,Time: 12:15:53 PM

ID1: 011,ID2: gly,ID3: 24092019,
Fluorescence (FI), multichromatic

Well,Content,Group,Raw Data (485/520 1),Raw Data (400/520 2),Raw Data (575/620 3),Raw Data (340/450 4),roGFP2 ratio,RTG,
A01,Sample X2,A,110077,133207,14941,98503,0.7315,0.1517,
A02,Sample X2,A,90436,124032,16114,93996,0.7935,0.1714,
A03,Control C1,A,85589,90426,4400,89147,0.4165,0.0494,
A04,Control C2,A,78378,85274,4076,84346,0.3865,0.0483,
B01,Sample X2,A,101229,131369,15291,99985,0.7805,0.1529,
B02,Sample X2,A,44078,79330,11358,57324,0.582,0.1981,
B03,Control C3,A,21252,51031,1681,36711,-0.4461,0.0458,
B04,Control C4,A,27431,54832,1911,41689,-0.1306,0.0458,
C01,Blank B,A,6844,58490,4462,106211,,0.042,
C02,Blank B,A,6248,55419,3928,93450,,0.042,
C03,Sample X1,A,62473,85251,16492,77731,0.4963,0.2122,
C04,Sample X1,A,55265,80070,16334,71807,0.4633,0.2275,
D01,Blank B,A,6738,58422,4349,105119,,0.0414,
D02,Blank B,A,6759,57856,4194,103806,,0.0404,
D03,Sample X1,A,63538,85383,16113,78182,0.4893,0.2061,
D04,Sample X1,A,53970,77715,15450,67639,0.4262,0.2284,
I09,Sample X2,AA,122349,149595,12185,104189,0.7778,0.117,
I10,Sample X2,AA,126377,152196,12566,106996,0.7733,0.1174,
I11,Control C1,AA,125262,115702,4714,112294,0.4708,0.042,
I12,Control C2,AA,132601,120550,4859,120764,0.4819,0.0402,
J09,Sample X2,AA,110853,138310,10913,96586,0.7551,0.113,
J10,Sample X2,AA,117765,144766,11661,101287,0.7663,0.1151,
J11,Control C3,AA,121109,112521,4374,108401,0.46,0.0404,
J12,Control C4,AA,123171,113802,4514,111207,0.4629,0.0406,
K09,Blank B,AA,7551,60414,4250,108939,,0.039,
K10,Blank B,AA,7759,61742,4595,113854,,0.0404,
K11,Sample X1,AA,86643,105762,16823,95686,0.5749,0.1758,
K12,Sample X1,AA,90581,109847,18725,104450,0.5968,0.1793,
L09,Blank B,AA,7164,58667,4069,102009,,0.0399,
L10,Blank B,AA,7464,60202,4219,108133,,0.039,
L11,Sample X1,AA,80941,100378,15604,90445,0.5462,0.1725,
L12,Sample X1,AA,69611,96265,20815,101881,0.5796,0.2043,
I13,Sample X2,AB,3793,47019,1457,26485,0.6426,0.055,
I14,Sample X2,AB,3778,47170,1439,26327,0.641,0.0547,
I15,Control C1,AB,64452,94145,8785,133893,0.4272,0.0656,
I16,Control C2,AB,60165,91193,8681,130439,0.4538,0.0666,
J13,Sample X2,AB,3804,47948,1460,26567,0.6333,0.055,
J14,Sample X2,AB,3856,47850,1442,26255,0.6346,0.0549,
J15,Control C3,AB,57344,88809,8333,126819,0.4784,0.0657,
J16,Control C4,AB,54515,86586,7904,122456,0.4966,0.0645,
K13,Blank B,AB,105937,113191,13803,123891,,0.1114,
K14,Blank B,AB,100738,108183,14824,127921,,0.1159,
K15,Sample X1,AB,133012,132837,17349,139126,0.7329,0.1247,
K16,Sample X1,AB,133622,133926,16777,140678,0.7533,0.1193,
L13,Blank B,AB,101836,110830,13363,120672,,0.1107,
L14,Blank B,AB,100492,108966,13651,116765,,0.1169,
L15,Sample X1,AB,131465,132358,17205,137719,0.7553,0.1249,
L16,Sample X1,AB,125255,127816,16353,134258,0.7618,0.1218,
I17,Sample X2,AC,126093,166660,20095,119789,0.8727,0.1678,
I18,Sample X2,AC,124036,164463,19129,113881,0.8692,0.168,
I19,Control C1,AC,156143,136665,5459,141828,0.4935,0.0385,
I20,Control C2,AC,155394,136584,5633,142027,0.4955,0.0397,
J17,Sample X2,AC,117153,154739,18214,109127,0.835,0.1669,
J18,Sample X2,AC,122148,160119,19401,111277,0.8456,0.1743,
J19,Control C3,AC,150904,132598,5321,136677,0.4832,0.0389,
J20,Control C4,AC,146273,129651,5077,134297,0.4781,0.0378,
K17,Blank B,AC,7978,64633,4270,116141,,0.0368,
K18,Blank B,AC,7919,63829,4239,116079,,0.0365,
K19,Sample X1,AC,138237,134113,14925,135690,0.5418,0.11,
K20,Sample X1,AC,136167,132327,14930,133423,0.5366,0.1119,
L17,Blank B,AC,7855,62751,4058,117605,,0.0345,
L18,Blank B,AC,7723,62728,3880,114251,,0.034,
L19,Sample X1,AC,131923,129367,14582,131501,0.5311,0.1109,
L20,Sample X1,AC,129839,127108,14363,127915,0.5216,0.1123,
I21,Sample X2,AD,153073,186107,13638,137129,0.8084,0.0995,
I22,Sample X2,AD,153151,185338,13842,136375,0.8026,0.1015,
I23,Control C1,AD,143493,127093,5145,132596,0.4275,0.0388,
I24,Control C2,AD,145812,128810,5263,134356,0.4328,0.0392,
J21,Sample X2,AD,147278,177313,13410,133671,0.7787,0.1003,
J22,Sample X2,AD,145776,178488,13465,132243,0.7958,0.1018,
J23,Control C3,AD,135953,122579,4710,125658,0.4173,0.0375,
J24,Control C4,AD,137597,123220,4886,127955,0.417,0.0382,
K21,Blank B,AD,9090,70851,5737,137442,,0.0417,
K22,Blank B,AD,9046,70504,5627,136868,,0.0411,
K23,Sample X1,AD,111047,119615,14575,121159,0.49,0.1203,
K24,Sample X1,AD,112642,120968,14582,120361,0.4956,0.1212,
L21,Blank B,AD,8768,68325,5168,131514,,0.0393,
L22,Blank B,AD,8729,68569,5342,130393,,0.041,
L23,Sample X1,AD,107890,117975,14197,116830,0.4891,0.1215,
L24,Sample X1,AD,107922,117957,14042,116879,0.4888,0.1201,
I25,Sample X2,AE,164562,180282,17532,140460,0.724,0.1248,
I26,Sample X2,AE,180505,197889,19673,152235,0.7592,0.1292,
I27,Control C1,AE,173281,151131,7025,159070,0.5086,0.0442,
