User: manidani,Path: T:\Lab Member Data\Daniel\DATA clario-phera\Data\,Test run no.: 1743
Test name: 1536 agar plates,Date: 9/24/2019,Time: 11:04:56 AM

ID1: 007,ID2: gly,ID3: 24092019,
Fluorescence (FI), multichromatic

Well,Content,Group,Raw Data (485/520 1),Raw Data (400/520 2),Raw Data (575/620 3),Raw Data (340/450 4),roGFP2 ratio,RTG,
A01,Sample X2,A,89420,115158,15068,85493,0.745,0.1762,
A02,Sample X2,A,64995,99896,13234,74980,0.7947,0.1765,
A03,Control C1,A,85415,87396,3422,93092,0.4331,0.0368,
A04,Control C2,A,82372,86107,3304,91279,0.4335,0.0362,
B01,Sample X2,A,67808,100150,13546,75218,0.7627,0.1801,
B02,Sample X2,A,50903,83725,12187,61597,0.684,0.1979,
B03,Control C3,A,53175,68384,2326,64199,0.3261,0.0362,
B04,Control C4,A,68105,76528,2693,77710,0.3788,0.0347,
C01,Blank B,A,6371,55358,4559,85069,,0.0536,
C02,Blank B,A,5687,51027,3574,72136,,0.0495,
C03,Sample X1,A,75303,92924,13712,87600,0.576,0.1565,
C04,Sample X1,A,73211,91760,13623,88454,0.5766,0.154,
D01,Blank B,A,6196,54148,4323,83312,,0.0519,
D02,Blank B,A,5627,51423,3641,72611,,0.0501,
D03,Sample X1,A,72516,90730,13958,85846,0.5671,0.1626,
D04,Sample X1,A,71118,90048,14296,86709,0.5688,0.1649,
I09,Sample X2,AA,51676,77817,9356,64264,0.6541,0.1456,
I10,Sample X2,AA,44100,76941,11141,59592,0.7554,0.187,
I11,Control C1,AA,70427,96810,13846,77056,0.7551,0.1797,
I12,Control C2,AA,64865,94161,15088,74510,0.7805,0.2025,
J09,Sample X2,AA,43152,74979,12030,58350,0.7237,0.2062,
J10,Sample X2,AA,45295,74510,10102,59002,0.675,0.1712,
J11,Control C3,AA,59331,88436,13626,69710,0.7552,0.1955,
J12,Control C4,AA,55706,84162,12977,66344,0.7256,0.1956,
K09,Blank B,AA,3755,46446,1458,25327,,0.0576,
K10,Blank B,AA,3820,46569,1433,25513,,0.0562,
K11,Sample X1,AA,63088,95173,10310,99100,0.821,0.104,
K12,Sample X1,AA,61694,95107,9837,96159,0.8396,0.1023,
L09,Blank B,AA,3799,46397,1513,25764,,0.0587,
L10,Blank B,AA,3848,46599,1562,25818,,0.0605,
L11,Sample X1,AA,53255,87830,8840,85921,0.8357,0.1029,
L12,Sample X1,AA,52822,87724,8716,83616,0.841,0.1042,
I13,Sample X2,AB,3995,47803,1540,25572,0.8474,0.0602,
I14,Sample X2,AB,3957,47688,1457,25831,0.8484,0.0564,
I15,Control C1,AB,3918,47159,1444,25979,0.855,0.0556,
I16,Control C2,AB,3916,47503,1583,25857,0.8504,0.0612,
J13,Sample X2,AB,3991,46779,2170,25486,0.8609,0.0851,
J14,Sample X2,AB,3893,47450,1506,25446,0.8509,0.0592,
J15,Control C3,AB,3869,47198,1455,25219,0.8539,0.0577,
J16,Control C4,AB,3913,47072,1544,25633,0.8561,0.0602,
K13,Blank B,AB,84565,115772,12487,119219,,0.1047,
K14,Blank B,AB,80978,113959,12423,119265,,0.1042,
K15,Sample X1,AB,3817,46313,1542,25477,0.8651,0.0605,
K16,Sample X1,AB,3841,46635,1518,25553,0.8611,0.0594,
L13,Blank B,AB,78569,110263,10788,107277,,0.1006,
L14,Blank B,AB,73723,106995,10659,107691,,0.099,
L15,Sample X1,AB,3913,46733,1530,25869,0.8606,0.0591,
L16,Sample X1,AB,3875,46716,1509,25697,0.8604,0.0587,
I17,Sample X2,AC,141929,169870,13233,121706,0.7989,0.1087,
I18,Sample X2,AC,143226,171508,12942,121750,0.8033,0.1063,
I19,Control C1,AC,141676,127526,5006,132014,0.4835,0.0379,
I20,Control C2,AC,143179,128687,5039,133780,0.4867,0.0377,
J17,Sample X2,AC,132166,159826,12662,112863,0.7808,0.1122,
J18,Sample X2,AC,135689,163427,12023,113653,0.7875,0.1058,
J19,Control C3,AC,133334,120490,4581,120709,0.4595,0.038,
J20,Control C4,AC,132380,119881,4598,119826,0.4582,0.0384,
K17,Blank B,AC,8256,63983,5211,124390,,0.0419,
K18,Blank B,AC,8124,63162,5017,119642,,0.0419,
K19,Sample X1,AC,120714,120396,14196,123910,0.5102,0.1146,
K20,Sample X1,AC,120059,119037,14263,123126,0.501,0.1158,
L17,Blank B,AC,8048,63215,4829,121264,,0.0398,
L18,Blank B,AC,7770,61308,4536,114921,,0.0395,
L19,Sample X1,AC,113156,115018,13406,114866,0.4957,0.1167,
L20,Sample X1,AC,108463,112203,13300,111365,0.4908,0.1194,
I21,Sample X2,AD,136465,165077,17391,124997,0.816,0.1391,
I22,Sample X2,AD,137491,166120,16678,124091,0.8176,0.1344,
