Clone ID,Mating Type /Het /Hom,Rec Number,SystematicName,SGD ID,Gene ID,Gene Symbol,Gene Description,SGD Description,transOMIC PRC,,
Mat-alpha-YAL058W  ,Mat-alpha,10349,YAL058W  ,S000000054,851241,CNE1,"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast",,MatAlpha_101_A10,,
Mat-alpha-YAL056W  ,Mat-alpha,10351,YAL056W  ,S000000052,851243,GPB2,"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication",,MatAlpha_101_A11,,
Mat-alpha-YAL055W  ,Mat-alpha,10352,YAL055W  ,S000000051,851244,PEX22,"Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation",,MatAlpha_101_A12,,
Mat-alpha-YAL068C  ,Mat-alpha,10338,YAL068C  ,S000002142,851229,PAU8,"Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions",,MatAlpha_101_A2,,
Mat-alpha-YAL067C  ,Mat-alpha,10339,YAL067C  ,S000000062,851230,SEO1,"Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide",,MatAlpha_101_A3,,
Mat-alpha-YAL066W  ,Mat-alpha,10340,YAL066W  ,S000000061,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_101_A4,,
Mat-alpha-YAL065C  ,Mat-alpha,10341,YAL065C  ,S000001817,851232,YAL065C,Putative protein of unknown function; has homology to FLO1; possible pseudogene,,MatAlpha_101_A5,,
Mat-alpha-YAL062W  ,Mat-alpha,10345,YAL062W  ,S000000058,851237,GDH3,"NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication",,MatAlpha_101_A6,,
Mat-alpha-YAL061W  ,Mat-alpha,10346,YAL061W  ,S000000057,851238,BDH2,Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3,,MatAlpha_101_A7,,
Mat-alpha-YAL060W  ,Mat-alpha,10347,YAL060W  ,S000000056,851239,BDH1,"NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source",,MatAlpha_101_A8,,
Mat-alpha-YAL059W  ,Mat-alpha,10348,YAL059W  ,S000000055,851240,ECM1,Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm,,MatAlpha_101_A9,,
Mat-alpha-YAL053W  ,Mat-alpha,10354,YAL053W  ,S000000049,851246,FLC2,"Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication",,MatAlpha_101_B1,,
Mat-alpha-YAL040C  ,Mat-alpha,10366,YAL040C  ,S000000038,851191,CLN3,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetly-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry.",,MatAlpha_101_B10,,
Mat-alpha-YAL037W  ,Mat-alpha,10369,YAL037W  ,S000000035,851194,YAL037W,"Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication",,MatAlpha_101_B11,,
Mat-alpha-YAL036C  ,Mat-alpha,10370,YAL036C  ,S000000034,851195,RBG1,"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid",,MatAlpha_101_B12,,
Mat-alpha-YAL051W  ,Mat-alpha,10355,YAL051W  ,S000000048,851247,OAF1,"Oleate-activated transcription factor; acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis; OAF1 has a paralog, PIP2, that arose from the whole genome duplication",,MatAlpha_101_B2,,
Mat-alpha-YAL049C  ,Mat-alpha,10356,YAL049C  ,S000000047,851248,AIM2,Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor,,MatAlpha_101_B3,,
Mat-alpha-YAL048C  ,Mat-alpha,10357,YAL048C  ,S000000046,851249,GEM1,"Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases",,MatAlpha_101_B4,,
Mat-alpha-YAL046C  ,Mat-alpha,10359,YAL046C  ,S000000044,851251,AIM1,Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss,,MatAlpha_101_B5,,
Mat-alpha-YAL045C  ,Mat-alpha,10360,YAL045C  ,S000000043,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A",MatAlpha_101_B6,,
