Clone ID,Mating Type /Het /Hom,Rec Number,SystematicName,SGD ID,Gene ID,Gene Symbol,Gene Description,SGD Description,transOMIC PRC
MATa-YAL025C,Mat-a,20383,YAL025C,S000000023,851208,MAK16,"Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus",NA,1 A_1
MATa-YBL097W,Mat-a,23123,YBL097W,S000000193,852180,BRN1,Subunit of the condensin complex; required for chromosome condensation and for clustering of tRNA genes at the nucleolus; may influence multiple aspects of chromosome transmission,NA,1 A_3
MATa-YCL004W,Mat-a,23412,YCL004W,S000000510,850352,PGS1,"Phosphatidylglycerolphosphate synthase, catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis",NA,1 A_9
MATa-YDL058W,Mat-a,NA,YDL058W,NA,NA,USO1,NA,NA,1 A_10
MATa-YDL084W,Mat-a,23781,YDL084W,S000002242,851475,SUB2,Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56; relocalizes from nucleus to cytoplasm upon DNA replication stress,NA,1 A_11
MATa-YDL132W,Mat-a,23829,YDL132W,S000002290,851424,CDC53,"Cullin, structural protein of SCF complexes (which also contain Skp1p, Cdc34p, Hrt1p and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation",NA,1 A_12
MATa-YDL140C,Mat-a,23838,YDL140C,S000002299,851415,RPO21,"RNA polymerase II largest subunit B220, part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime",NA,1 B_1
MATa-YDR050C,Mat-a,23986,YDR050C,S000002457,851620,TPI1,"Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region; inhibition of Tpi1p activity by PEP (phosphoenolpyruvate) stimulates redox metabolism in respiring cells; E104D mutation in human TPI causes a rare autosomal disease",NA,1 B_3
MATa-YDR088C,Mat-a,24023,YDR088C,S000002495,851661,SLU7,"RNA splicing factor, required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain",NA,1 B_4
MATa-YDR145W,Mat-a,24079,YDR145W,S000002552,851723,TAF12,"Subunit (61/68 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H2A",NA,1 B_5
MATa-YDR303C,Mat-a,23662,YDR303C,S000002711,851897,RSC3,"Component of the RSC chromatin remodeling complex; essential gene required for maintenance of proper ploidy and regulation of ribosomal protein genes and the cell wall/stress response; RSC3 has a paralog, RSC30, that arose from the whole genome duplication",NA,1 B_6
MATa-YDR325W,Mat-a,23684,YDR325W,S000002733,851925,YCG1,"Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation, chromosome segregation and chromatin binding of the condensin complex; required for clustering of tRNA genes at the nucleolus; required for replication slow zone (RSZ) breakage following Mec1p inactivation",NA,1 B_7
MATa-YEL055C,Mat-a,20296,YEL055C,S000000781,856655,POL5,"DNA Polymerase phi; has sequence similarity to the human MybBP1A and weak sequence similarity to B-type DNA polymerases, not required for chromosomal DNA replication; required for the synthesis of rRNA",NA,1 B_12
MATa-YER006W,Mat-a,20327,YER006W,S000000808,856723,NUG1,"GTPase that associates with nuclear 60S pre-ribosomes, required for export of 60S ribosomal subunits from the nucleus",NA,1 C_1
MATa-YER021W,Mat-a,20153,YER021W,S000000823,856742,RPN3,"Essential, non-ATPase regulatory subunit of the 26S proteasome lid, similar to the p58 subunit of the human 26S proteasome; temperature-sensitive alleles cause metaphase arrest, suggesting a role for the proteasome in cell cycle control",NA,1 C_3
MATa-YER022W,Mat-a,20154,YER022W,S000000824,856743,SRB4,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; homozygosity of the human MED17 L371P mutation is associated with infantile cerebral and cerebellar atrophy with poor myelination,NA,1 C_4
MATa-YER168C,Mat-a,26164,YER168C,S000000970,856915,CCA1,"ATP (CTP):tRNA-specific tRNA nucleotidyltransferase; different forms targeted to the nucleus, cytosol, and mitochondrion are generated via the use of multiple transcriptional and translational start sites",NA,1 C_8
MATa-YFL038C,Mat-a,25659,YFL038C,S000001856,850505,YPT1,"Rab family GTPase, involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p)",NA,1 D_1
MATa-YFR002W,Mat-a,NA,YFR002W,NA,NA,NIC96,NA,NA,1 D_2
MATa-YFR004W,Mat-a,25683,YFR004W,S000001900,850554,RPN11,"Metalloprotease subunit of the 19S regulatory particle of the 26S proteasome lid; couples the deubiquitination and degradation of proteasome substrates; involved, independent of catalytic activity, in fission of mitochondria and peroxisomes; protein abundance increases in response to DNA replication stress",NA,1 D_3
MATa-YFR031C,Mat-a,27086,YFR031C,S000001927,850589,SMC2,Subunit of the condensin complex; essential SMC chromosomal ATPase family member that forms a complex with Smc4p to form the active ATPase; Smc2p/Smc4p complex binds DNA; required for clustering of tRNA genes at the nucleolus,NA,1 D_4
MATa-YFR051C,Mat-a,25865,YFR051C,S000001947,850612,RET2,"Delta subunit of the coatomer complex (COPI), which coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER",NA,1 D_5
MATa-YGL044C,Mat-a,24412,YGL044C,S000003012,852838,RNA15,"Component of the cleavage and polyadenylation factor I (CF I); CF 1, composed of the CF 1A complex (Rna14p, Rna15p, Clp1p, Pcf11p) and Hrp1, is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping",NA,1 D_6
MATa-YGL055W,Mat-a,24422,YGL055W,S000003023,852825,OLE1,"Delta(9) fatty acid desaturase, required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria",NA,1 D_7
MATa-YGL065C,Mat-a,24432,YGL065C,S000003033,852815,ALG2,Mannosyltransferase that catalyzes two consecutive steps in the N-linked glycosylation pathway; alg2 mutants exhibit temperature-sensitive growth and abnormal accumulation of the lipid-linked oligosaccharide Man2GlcNAc2-PP-Dol,NA,1 D_8
MATa-YGL073W,Mat-a,24440,YGL073W,S000003041,852806,HSF1,"Trimeric heat shock transcription factor; activates multiple genes in response to highly diverse stresses, including hyperthermia; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; monitors translational status of cell at the ribosome through an RQC (Ribosomal Quality Control)-mediated translation-stress signal; posttranslationally regulated",NA,1 D_9
MATa-YGL075C,Mat-a,24442,YGL075C,S000003043,852805,MPS2,"Essential membrane protein localized at nuclear envelope and SPBs; required for insertion of the newly duplicated spindle pole body into the nuclear envelope; potentially phosphorylated by Cdc28p; MPS2 has a paralog, CSM4, that arose from the whole genome duplication",NA,1 D_10
MATa-YGL098W,Mat-a,24465,YGL098W,S000003066,852780,USE1,"Essential SNARE protein localized to the ER, involved in retrograde traffic from the Golgi to the ER; forms a complex with the SNAREs Sec22p, Sec20p and Ufe1p",NA,1 D_12
MATa-YGL099W,Mat-a,24466,YGL099W,S000003067,852779,LSG1,Putative GTPase involved in 60S ribosomal subunit biogenesis; required for the release of Nmd3p from 60S subunits in the cytoplasm,NA,1 E_1
MATa-YGL120C,Mat-a,24487,YGL120C,S000003088,852757,PRP43,"RNA helicase in the DEAH-box family; functions in both RNA polymerase I and polymerase II transcript metabolism; catalyzes removal of U2, U5, and U6 snRNPs from the postsplicing lariat-intron ribonucleoprotein complex; required for efficient biogenesis of both small- and large-subunit rRNAs; acts with Sqs1p to promote 20S to 18S rRNA processing catalyzed by endonuclease Nob1p",NA,1 E_3
MATa-YGR075C,Mat-a,24705,YGR075C,S000003307,852966,PRP38,"Unique component of the U4/U6.U5 tri-snRNP particle, required for conformational changes which result in the catalytic activation of the spliceosome; dispensible for spliceosome assembly",NA,1 E_6
MATa-YGR116W,Mat-a,26994,YGR116W,S000003348,853011,SPT6,"Nucleosome remodeling protein; functions in various aspects of transcription, chromatin maintenance, and RNA processing; required for the maintenance of chromatin structure during transcription in order to inhibit transcription from promoters within the coding region",NA,1 E_9
MATa-YGR147C,Mat-a,24777,YGR147C,S000003379,853050,NAT2,Protein with an apparent role in acetylation of N-terminal methionine residues,NA,1 E_10
MATa-YGR158C,Mat-a,24788,YGR158C,S000003390,853062,MTR3,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hMtr3p (EXOSC6),NA,1 E_12
MATa-YGR245C,Mat-a,25898,YGR245C,S000003477,853160,SDA1,"Highly conserved nuclear protein required for actin cytoskeleton organization and passage through Start, plays a critical role in G1 events, binds Nap1p, also involved in 60S ribosome biogenesis",NA,1 F_4
MATa-YHR170W,Mat-a,26418,YHR170W,S000001213,856575,NMD3,Protein involved in nuclear export of the large ribosomal subunit; acts as a Crm1p-dependent adapter protein for export of nascent ribosomal subunits through the nuclear pore complex,NA,1 F_9
